row_id,tomo_id,Motor axis 0,Motor axis 1,Motor axis 2,Array shape (axis 0),Array shape (axis 1),Array shape (axis 2),Voxel spacing,Number of motors
0,tomo_003acc,-1.0,-0.06694560669456066,-0.06930157011369789,500,1912,1847,6.5,0
1,tomo_00e047,169.0,72.87591240875912,83.17241379310344,300,959,928,15.6,1
2,tomo_00e463,235.0,55.82683982683983,18.343096234309623,500,924,956,19.7,6
3,tomo_00e463,243.0,50.285714285714285,20.485355648535563,500,924,956,19.7,6
4,tomo_00e463,222.0,52.502164502164504,19.28033472803347,500,924,956,19.7,6
5,tomo_00e463,225.0,36.294372294372295,84.0836820083682,500,924,956,19.7,6
6,tomo_00e463,225.0,33.38528138528139,86.09205020920501,500,924,956,19.7,6
7,tomo_00e463,231.0,40.03463203463203,84.61924686192468,500,924,956,19.7,6
8,tomo_01a877,147.0,85.06666666666666,39.44827586206897,300,960,928,13.1,1
9,tomo_02862f,101.0,46.848800834202294,16.551724137931036,300,959,928,15.6,1
10,tomo_0308c5,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
11,tomo_0333fa,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
12,tomo_033ebe,88.0,94.8,42.48275862068965,300,960,928,13.1,1
13,tomo_03437b,138.0,115.32012513034411,85.51724137931035,300,959,928,15.6,1
14,tomo_0363f2,50.0,76.53333333333333,54.06896551724138,300,960,928,13.1,1
15,tomo_040b80,-1.0,-0.13793103448275862,-0.13333333333333333,600,928,960,16.1,0
16,tomo_049310,-1.0,-0.13852813852813853,-0.13389121338912133,500,924,956,19.7,0
17,tomo_04d42b,-1.0,-0.125,-0.08888888888888889,500,1024,1440,13.3,0
18,tomo_05b39c,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,13.1,0
19,tomo_05df8a,130.0,35.44827586206897,105.10344827586206,300,928,928,15.6,1
20,tomo_05f919,121.0,62.86548488008342,116.55172413793103,300,959,928,15.6,1
21,tomo_066095,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
22,tomo_06e11e,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
23,tomo_072a16,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
24,tomo_081a2d,152.0,41.910323253388945,89.79310344827586,300,959,928,15.6,1
25,tomo_08446f,235.0,102.5108225108225,7.230125523012552,500,924,956,19.7,2
26,tomo_08446f,246.0,107.77489177489177,6.02510460251046,500,924,956,19.7,2
27,tomo_087d64,-1.0,-0.13807982740021574,-0.1334723670490094,800,927,959,13.1,0
28,tomo_08a6d6,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,13.1,0
29,tomo_08bf73,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,16.1,0
30,tomo_098751,-1.0,-0.13852813852813853,-0.13389121338912133,500,924,956,16.1,0
31,tomo_0a180f,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,13.1,0
32,tomo_0a8f05,52.0,80.9655172413793,79.3103448275862,300,928,928,13.1,1
33,tomo_0c2749,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
34,tomo_0c3a99,125.0,86.08967674661106,31.310344827586206,300,959,928,15.6,1
35,tomo_0c3d78,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,13.1,0
36,tomo_0d4c9e,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
37,tomo_0da370,28.0,49.10344827586207,87.72413793103448,300,928,928,13.1,1
38,tomo_0de3ee,131.0,19.17241379310345,43.46666666666667,500,928,960,13.1,2
39,tomo_0de3ee,203.0,88.55172413793103,106.8,500,928,960,13.1,2
40,tomo_0e9757,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
41,tomo_0eb41e,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
42,tomo_0eb994,161.0,111.44942648592284,86.89655172413794,300,959,928,15.6,1
43,tomo_0f9df0,94.0,23.2,82.62068965517241,300,960,928,15.6,1
44,tomo_0fab19,159.0,68.87174139728884,93.93103448275862,300,959,928,15.6,1
45,tomo_0fe63f,197.0,48.266666666666666,36.55172413793103,300,960,928,13.1,1
46,tomo_101279,161.0,40.689655172413794,80.6896551724138,300,928,928,13.1,1
47,tomo_10a3bd,-1.0,-0.125,-0.08888888888888889,500,1024,1440,13.3,0
48,tomo_10c564,16.0,60.666666666666664,36.82758620689655,300,960,928,13.1,1
49,tomo_122a02,127.0,107.84567257559958,19.310344827586206,300,959,928,15.6,1
50,tomo_122c46,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
51,tomo_12f896,95.0,53.86666666666667,29.241379310344826,300,960,928,13.1,1
52,tomo_13484c,153.0,105.93103448275862,90.75862068965517,300,928,928,15.6,1
53,tomo_134bb0,55.0,33.63503649635037,23.862068965517242,300,959,928,15.6,1
54,tomo_136c8d,-1.0,-0.13852813852813853,-0.13389121338912133,500,924,956,19.7,0
55,tomo_138018,144.0,31.099061522419188,62.758620689655174,300,959,928,15.6,1
56,tomo_13973d,234.0,30.614718614718615,108.18410041841003,500,924,956,19.7,1
57,tomo_139d9e,153.0,81.55161626694473,23.724137931034484,300,959,928,15.6,1
58,tomo_1446aa,149.0,39.06666666666666,82.89655172413794,300,960,928,13.1,1
59,tomo_146de2,-1.0,-0.13852813852813853,-0.13389121338912133,500,924,956,16.1,0
60,tomo_16136a,141.0,75.46666666666667,61.10344827586207,300,960,928,16.8,1
61,tomo_161683,186.0,20.0,51.03448275862069,300,928,928,15.6,1
62,tomo_16efa8,183.0,50.53333333333333,103.72413793103448,300,960,928,13.1,1
63,tomo_16fce8,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
64,tomo_17143f,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
65,tomo_172f08,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,13.1,0
66,tomo_180bfd,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
67,tomo_183270,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,13.1,0
68,tomo_191bcb,149.0,55.6,68.9655172413793,300,960,928,13.1,1
69,tomo_19a313,67.0,79.73333333333333,41.37931034482759,300,960,928,13.1,1
70,tomo_19a4fd,175.0,77.73333333333333,64.55172413793103,300,960,928,16.8,1
71,tomo_1ab322,68.0,77.33333333333333,80.41379310344827,300,960,928,15.6,1
72,tomo_1af88d,24.0,40.8,85.37931034482759,300,960,928,13.1,1
73,tomo_1b82d1,223.0,99.18614718614718,90.64435146443513,500,924,956,19.7,4
74,tomo_1b82d1,210.0,102.23376623376623,89.30543933054392,500,924,956,19.7,4
75,tomo_1b82d1,222.0,121.62770562770562,62.92887029288703,500,924,956,19.7,4
76,tomo_1b82d1,208.0,96.55411255411255,91.0460251046025,500,924,956,19.7,4
77,tomo_1c2534,-1.0,-0.13807982740021574,-0.1334723670490094,800,927,959,13.1,0
78,tomo_1c38fd,103.0,89.06666666666666,38.758620689655174,300,960,928,15.6,1
79,tomo_1c75ac,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,15.6,0
80,tomo_1cc887,143.0,92.0,26.482758620689655,300,928,928,15.6,1
81,tomo_1da097,34.0,79.86206896551724,55.86666666666667,500,928,960,13.1,2
82,tomo_1da097,37.0,89.93103448275862,64.4,500,928,960,13.1,2
83,tomo_1da0da,-1.0,-0.13793103448275862,-0.13333333333333333,800,928,960,13.1,0
84,tomo_1dc5f9,-1.0,-0.13852813852813853,-0.13389121338912133,500,924,956,19.7,0
85,tomo_1e9980,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
86,tomo_1efc28,123.0,84.88842544316996,24.137931034482758,300,959,928,15.6,1
87,tomo_1f0e78,112.0,106.37747653806048,36.41379310344828,300,959,928,15.6,1
88,tomo_1fb6a7,-1.0,-0.13333333333333333,-0.13793103448275862,300,960,928,16.8,0
89,tomo_20a9ed,185.0,42.53333333333333,77.24137931034483,300,960,928,13.1,1
90,tomo_210371,263.0,77.86666666666666,82.06896551724138,300,960,928,15.6,1
91,tomo_221a47,166.0,43.2,77.6551724137931,300,960,928,13.1,1
